VIN,make,model,year,color,price,is_rented,description
1G4HP54K61U133990,Emmalyn,Ram 1500,2000,Fuscia,213.32,false,"Open bite of unspecified part of thorax, sequela"
3D7JB1EP1BG054180,Patience,Murano,2005,Pink,304.04,true,"Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified"
1GYS4SKJ6FR436915,Mareah,Scoupe,1994,Puce,396.61,false,"Nondisplaced fracture of posterior column [ilioischial] of right acetabulum, subsequent encounter for fracture with delayed healing"
4T1BB3EK5BU797125,Kellie,300CE,1992,Khaki,318.34,true,"Smith's fracture of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
1FTEW1E84AK862486,Waylan,G-Series G10,1995,Goldenrod,43.06,true,"Poisoning by other antipsychotics and neuroleptics, accidental (unintentional), sequela"
1N6AF0KY0FN308106,Dillon,FJ Cruiser,2009,Red,215.7,true,Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level
2G4WC562051716704,Tonye,RS4,2007,Green,485.01,false,Non-pressure chronic ulcer of unspecified part of right lower leg limited to breakdown of skin
1FTMF1C87AK119268,Neysa,Esprit,1992,Puce,84.97,false,Pre-existing secondary hypertension complicating childbirth
KNDMA5C19F6606922,Henrietta,TSX,2004,Indigo,364.64,false,"Pathological fracture in other disease, hand"
2T1KU4EE2BC704153,Darsey,CL-Class,2000,Purple,302.28,true,Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
WBA1K5C58FV508163,Marion,MPV,2003,Fuscia,128.31,false,"Pathological fracture, right fibula, subsequent encounter for fracture with routine healing"
1GYFK16219R407704,Imogene,Century,1988,Aquamarine,89.29,true,Blister (nonthermal) of lip and oral cavity
5J6YH1H36BL705347,Brose,Camaro,1980,Violet,271.97,false,Other disorders of tooth development
WAUDH78EX8A942790,Karmen,Colorado,2007,Turquoise,422.22,false,"Underdosing of saline and osmotic laxatives, subsequent encounter"
1G6DP5ED6B0467970,Bill,Prius,2008,Blue,115.67,true,"Other mechanical complication of insulin pump, sequela"
1D7RW3BK5BS337105,Archibaldo,Mazda5,2007,Crimson,94.72,false,Postinfarction angina
WBAUN9C50AV044273,Ernst,Continental,1985,Fuscia,456.54,false,"Unspecified occupant of heavy transport vehicle injured in collision with unspecified motor vehicles in nontraffic accident, initial encounter"
1G6AK5S31F0185559,Griffy,G,1995,Teal,287.42,false,"Unspecified retinoschisis, bilateral"
WAULT58E53A427879,Bail,LeSabre,1989,Puce,425.62,true,"Partial traumatic transmetacarpal amputation of left hand, sequela"
1G4HR57Y06U035135,Jareb,Accent,2005,Purple,36.71,true,"Crushing injury of left thigh, sequela"
WBAPH7C57AE609188,Lolita,Corvette,1961,Fuscia,263.78,true,"Driver of heavy transport vehicle injured in collision with fixed or stationary object in traffic accident, subsequent encounter"
WAUFFAFC8DN048108,Brynna,G-Class,2012,Purple,70.09,true,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, left leg"
ZFBCFABH8EZ508713,Riordan,300M,2001,Teal,273.3,true,Orf virus disease
1D7CW3GK3AS826485,Inna,Econoline E350,1998,Mauv,115.04,false,"Adverse effect of other primarily systemic and hematological agents, sequela"
WBAGL63404D644018,Parsifal,Pajero,1986,Orange,364.8,true,Acute cystitis without hematuria
WA1EFCFS3FR138807,Jennee,Tracker,1994,Purple,443.73,false,"Ultralight, microlight or powered-glider explosion injuring occupant"
19XFB2F54DE158003,Car,CX-7,2011,Turquoise,332.08,false,"Laceration with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, subsequent encounter"
1G6YX36D365116043,Kaleb,xB,2009,Crimson,263.0,true,"Motorcycle passenger injured in collision with pedestrian or animal in nontraffic accident, sequela"
WA1WKBFP2AA701150,Davis,GTI,2002,Crimson,155.81,false,Erythema in diseases classified elsewhere
1FTEX1E89AK249261,Bartolomeo,Bonneville,1988,Teal,124.82,true,"Unspecified fracture of unspecified patella, subsequent encounter for open fracture type I or II with delayed healing"
WBAPN73579A521219,Martie,Durango,2002,Yellow,430.15,false,Other osteonecrosis of right ulna
WAUAF78E47A779920,Hailee,F150,1996,Maroon,109.02,false,"Puncture wound with foreign body of left back wall of thorax with penetration into thoracic cavity, sequela"
1N6AA0CA7BN162815,Madalena,Civic,1994,Maroon,107.31,true,"Effusion, unspecified hip"
KNAFT4A2XA5936458,Neda,Reno,2006,Puce,176.9,true,Chronic myringitis
3VW4A7AT5DM070657,Shauna,Fusion,2012,Maroon,159.35,false,Family history of certain disabilities and chronic diseases (leading to disablement)
JHMZF1D66ES773432,Janeczka,XL-7,2001,Violet,340.12,false,"Other injury of extensor muscle, fascia and tendon of left middle finger at forearm level, sequela"
1N4AL3AP0DC400370,Rasia,Elantra,1996,Indigo,164.38,false,"Encounter for contraceptive management, unspecified"
1C6RD6HT5CS620923,Lisa,Mustang,1973,Puce,75.29,true,"Other drowning and submersion, undetermined intent, initial encounter"
WAUAFAFH2DN266924,Amble,i-Series,2007,Pink,429.71,true,Other endophthalmitis
1GYS3FEJ8BR047029,Andromache,V70,2006,Turquoise,79.07,true,Other obstructive defects of renal pelvis and ureter
JN1BV7AP1FM709166,Storm,Bravada,1993,Aquamarine,486.04,true,"Nondisplaced comminuted supracondylar fracture without intercondylar fracture of right humerus, initial encounter for closed fracture"
WUAYU48H88K851541,Wallas,STS-V,2009,Green,36.57,false,"Drowning and submersion due to fall off canoe or kayak, initial encounter"
